"Целевая.Цена","Спальни","Ванные","Жилая площадь","Общая площадь","Количество этажей","Вид на воду","Просмотрены ранее","Состояние","Оценка риелтора","Площадь без подвала","Площадь подвала","Год постройки","Год реновации","Широта","Долгота"
"485000","3","1.75","1950","10080","1","0","0","4","7","1950","0","1967","0","47.7282","-122.186"
"610000","4","2.5","2410","15899","2","0","3","3","9","2410","0","1990","0","47.6242","-122.04"
"1390000","4","3.5","4010","15365","2","0","1","3","11","4010","0","2006","0","47.5528","-122.093"
"238000","3","1","1240","5700","1.5","0","0","5","6","1240","0","1953","0","47.4927","-122.169"
"1450000","4","3.5","5000","38012","2","0","0","3","11","3610","1390","2004","0","47.554","-122.036"
"240000","3","2","1553","6550","1","0","0","3","7","1553","0","1900","2001","47.2056","-121.994"
"1170000","4","2.25","3080","10487","2","0","0","4","9","3080","0","1968","0","47.5344","-122.224"
"1330000","5","3","3340","10796","1","0","2","3","9","2120","1220","1964","1990","47.5421","-122.229"
"679900","3","2.5","2440","5750","2","0","2","3","9","1980","460","2000","0","47.565","-122.381"
"374000","3","1","1200","9800","1","0","0","4","7","1200","0","1971","0","47.7412","-122.109"
"389900","4","1","1710","117176","1.5","0","0","4","6","1710","0","1942","0","47.4497","-122.212"
"315000","3","1","970","6828","1","0","0","3","6","970","0","1928","0","47.5476","-122.36"
"245000","3","2.5","1530","8500","1","0","0","5","7","1030","500","1996","0","47.3592","-122.046"
"705000","4","2.25","2620","10536","1","0","0","3","8","1520","1100","1979","0","47.5847","-122.075"
"616500","3","2","2080","4549","1","0","0","5","7","1040","1040","1954","0","47.6886","-122.309"
"305000","3","3","1290","1112","3","0","0","3","7","1290","0","2008","0","47.7282","-122.296"
"539500","4","2.25","2280","8550","1","0","0","3","8","1660","620","1977","0","47.701","-122.231"
"675000","4","2.5","3000","5548","2","0","0","3","9","3000","0","2006","0","47.5399","-122.188"
"1040000","4","2.5","3170","47502","2","0","0","3","10","3170","0","1988","0","47.6495","-122.185"
"250000","3","1.5","2840","10182","1","0","0","3","8","1510","1330","1951","0","47.524","-122.2"
"325000","2","1","810","6827","1","0","0","3","6","810","0","1944","0","47.5495","-122.357"
"390000","4","2.25","3060","7920","1","0","0","3","7","1530","1530","1965","0","47.4879","-122.245"
"890000","4","4.25","4420","5750","2","0","0","3","10","3410","1010","2006","0","47.5404","-122.073"
"650000","5","3.5","3990","10120","2","0","0","3","9","2820","1170","1990","0","47.741","-122.208"
"215000","3","1","1200","7280","1","0","0","4","7","1200","0","1967","0","47.3724","-122.277"
"560000","4","1.75","2230","6838","1","0","0","3","7","1320","910","1985","0","47.5742","-122.118"
"450000","3","2.5","2910","17172","2","0","0","3","10","2910","0","1989","0","47.2789","-122.331"
"672000","3","2.5","1780","1647","2","0","0","3","8","1080","700","2008","0","47.6597","-122.355"
"371000","4","2.5","2550","4770","2","0","0","3","8","2550","0","2005","0","47.3526","-122"
"550000","4","1.75","2410","8447","2","0","3","4","8","2060","350","1936","1980","47.6499","-122.088"
"525000","3","1.75","2120","9146","1","0","0","3","8","1260","860","1981","0","47.6475","-122.064"
"317000","3","1","1160","8813","1","0","0","3","7","1160","0","1952","0","47.7257","-122.329"
"400000","4","2","2070","10800","2","0","0","3","7","2070","0","1982","0","47.7264","-122.237"
"365000","3","1","1380","30940","2","0","0","3","8","1380","0","1976","0","47.334","-122.106"
"480000","4","2.5","2180","9861","2","0","2","3","8","2180","0","1997","0","47.4817","-121.802"
"585000","3","2.5","1750","1381","3","0","0","3","8","1750","0","2008","0","47.6021","-122.294"
"370000","3","2.25","1770","7667","1","0","0","3","8","1270","500","1966","0","47.7724","-122.362"
"405000","3","2.5","1500","9636","2","0","0","3","7","1500","0","1994","0","47.75","-122.176"
"711000","3","2.5","2550","5376","2","0","0","3","9","2550","0","2004","0","47.6647","-122.083"
"340000","4","2.25","2530","24700","2","0","0","3","7","2530","0","1974","0","47.3939","-122.177"
"480000","4","2.5","3620","16000","2","0","0","3","9","3620","0","1976","0","47.3711","-122.06"
"351000","4","2.5","2370","7274","2","0","0","3","7","2370","0","1997","0","47.3982","-122.171"
"365000","3","1.75","1830","17349","1","0","0","3","8","1230","600","1977","0","47.7427","-122.109"
"359000","3","3","1320","1071","2","0","0","3","7","1080","240","2003","0","47.5942","-122.296"
"577500","3","1.75","2140","13286","1","0","0","4","8","1220","920","1964","0","47.5722","-122.128"
"315000","3","2","1220","14645","1","0","0","3","6","1220","0","1970","0","47.4842","-122.117"
"328000","2","1","700","4350","1","0","0","3","6","700","0","1943","0","47.5577","-122.391"
"473000","3","2.25","1620","12309","2","0","0","3","7","1620","0","1987","0","47.6188","-122.029"
"699188","4","3.25","3250","5478","2","0","0","3","9","3250","0","2014","0","47.5178","-121.887"
"605000","4","2.5","2430","11870","1","0","0","5","8","1590","840","1968","0","47.7761","-122.285"
"325000","3","1","1590","8160","1","0","1","3","7","1090","500","1954","0","47.4013","-122.321"
"234000","3","1","1040","8128","1","0","0","3","6","1040","0","1983","0","47.7425","-121.981"
"420000","3","2","1750","9239","1","0","0","3","8","1410","340","1989","0","47.7583","-122.339"
"485000","3","2.5","1650","4218","2","0","0","3","8","1650","0","2000","0","47.5998","-122.016"
"525000","3","1.75","2870","26500","1.5","0","1","3","8","2870","0","1948","1981","47.4485","-122.355"
"150000","3","1","820","7680","1.5","0","0","3","6","820","0","1910","0","47.528","-122.359"
"615000","3","2.25","2530","45234","2","0","0","4","9","2530","0","1985","0","47.7221","-122.12"
"285000","3","2.5","1320","955","3","0","0","3","7","1320","0","2009","0","47.5202","-122.357"
"317000","3","2.25","1358","1204","3","0","0","3","7","1358","0","2007","0","47.7054","-122.346"
"352500","4","2.5","2300","219106","1","0","0","4","7","1840","460","1958","0","47.4044","-121.963"
"955500","4","1.75","2130","5080","1.5","0","0","3","8","2130","0","1914","1993","47.6427","-122.363"
"346500","5","2.5","2020","8250","1","0","0","4","8","1430","590","1978","0","47.4432","-122.135"
"560000","3","1.75","2000","10182","1","0","0","5","7","1400","600","1963","0","47.6616","-122.175"
"725000","4","2.5","3270","6055","2","0","0","3","9","3270","0","2007","0","47.5374","-122.192"
"1660000","4","2.25","3530","5500","2","0","0","3","8","2860","670","1940","0","47.6618","-122.273"
"310000","3","2","2010","12950","1","0","0","3","8","2010","0","1953","0","47.7222","-122.229"
"870000","4","4","3610","12811","2","0","0","3","10","3610","0","2000","0","47.5812","-121.993"
"250000","3","1","1300","8284","1","0","0","3","7","1300","0","1968","0","47.3327","-122.306"
"1400000","5","3.75","3700","7920","3","0","4","3","9","2900","800","1983","0","47.6865","-122.266"
"250000","4","1","1320","11212","1","0","0","5","6","1320","0","1914","0","47.3098","-122.209"
"601002","4","2.5","2050","8094","1","0","0","3","8","1050","1000","1976","0","47.6614","-122.138"
"320000","3","2.5","1610","1356","2","0","0","3","8","1240","370","2007","0","47.5257","-122.361"
"546500","3","2.5","1410","2675","1","0","0","3","7","820","590","1985","0","47.6786","-122.371"
"517850","5","2.75","3050","7500","1","0","0","4","8","1800","1250","1966","0","47.7249","-122.187"
"1290000","4","3.5","3700","13175","2","0","0","4","11","3700","0","1989","0","47.5471","-122.133"
"870000","4","2.5","3240","7621","2","0","2","3","9","3240","0","2003","0","47.5641","-122.032"
"405000","3","2.5","1430","10200","1","0","0","3","7","1430","0","1960","0","47.7012","-122.166"
"745000","4","1.75","1990","8900","1","0","0","4","8","1990","0","1972","0","47.5639","-122.149"
"360000","5","1.75","1550","5225","1.5","0","0","4","7","1550","0","1941","0","47.554","-122.306"
"730000","5","3","2500","11779","1","0","0","4","8","1550","950","1971","0","47.5696","-122.127"
"430000","4","2.75","1820","5400","1","0","0","4","7","1220","600","1988","0","47.5204","-122.205"
"150000","2","1","720","212137","1","0","0","3","5","720","0","1982","0","47.422","-122.066"
"359950","3","1.75","1570","6975","1","0","0","3","7","1040","530","1979","0","47.5137","-122.37"
"818500","5","3.5","4790","12957","2","0","1","3","9","3110","1680","2005","0","47.5469","-122.194"
"357000","3","1","1370","6450","1","0","0","3","7","1370","0","1948","0","47.7195","-122.288"
"995000","3","2.25","3200","3800","2","0","0","5","9","2650","550","1914","0","47.638","-122.317"
"1160000","3","2.5","2740","5925","2","0","2","3","10","2740","0","1913","1992","47.6313","-122.303"
"500000","2","1","930","3750","1","0","0","4","7","930","0","1909","0","47.6733","-122.296"
"1100000","5","2.75","2830","18050","1","0","0","5","7","1630","1200","1958","0","47.5773","-122.226"
"260000","3","1.75","1360","15210","1","0","0","3","7","1360","0","1987","0","47.3657","-122.047"
"250000","3","1.5","1170","9848","1","0","0","3","7","1170","0","1963","0","47.7612","-122.234"
"935000","3","3.25","3710","38509","2","0","0","3","10","3710","0","1998","0","47.693","-121.868"
"500000","2","1.5","2070","5432","2","0","0","3","7","1370","700","1951","0","47.5571","-122.299"
"379950","4","2.5","2680","4500","2","0","0","3","8","2680","0","2011","0","47.3561","-122.056"
"765000","3","2","1570","7000","2","0","2","4","8","1050","520","1971","0","47.6061","-122.286"
"249000","4","1","1200","7552","1","0","0","3","6","1060","140","1919","0","47.5317","-122.37"
"272000","3","2.5","1528","7616","2","0","0","3","7","1528","0","2011","0","47.3774","-122.186"
"440000","3","1.75","1170","8740","1","0","0","4","7","1170","0","1968","0","47.6849","-122.117"
"160000","3","1.5","1480","7000","1","0","0","3","7","1000","480","1980","0","47.2866","-122.368"
"519500","4","2","1540","17859","1","0","0","3","6","1540","0","1964","0","47.5326","-122.032"
"315000","5","2.5","3220","5751","2","0","0","3","8","3220","0","2002","0","47.3717","-122.104"
"349950","4","2.5","2090","5289","2","0","0","3","8","2090","0","1989","0","47.4289","-122.164"
"236500","4","1","2140","4217","1.5","0","0","3","6","1320","820","1925","0","47.5484","-122.287"
"500000","3","1.5","2150","4000","1.5","0","0","3","7","1470","680","1928","0","47.5733","-122.312"
"302000","2","1.75","1170","8200","1","0","0","4","6","780","390","1937","0","47.3263","-122.305"
"329922","3","1.75","1420","6289","1","0","0","3","7","1100","320","1967","0","47.7398","-122.314"
"240000","4","2","1790","14690","1","0","1","4","7","1670","120","1960","0","47.3965","-122.321"
"372500","2","2.5","1400","2958","2","0","0","3","8","1400","0","2007","0","47.5496","-122.373"
"296000","3","1.75","1360","10742","1","0","0","5","7","960","400","1971","0","47.4351","-122.173"
"622000","3","2.5","1950","7481","2","0","0","3","8","1950","0","1987","0","47.564","-122.091"
"313100","3","2","1730","12821","1","0","0","3","8","1730","0","1994","0","47.353","-122.272"
"265000","3","2.5","1890","6088","2","0","0","3","7","1890","0","1996","0","47.2886","-122.218"
"570000","4","2.5","2590","7910","2","0","0","3","9","2590","0","2003","0","47.7378","-122.248"
"1600000","5","3.5","4050","20925","2","0","3","3","10","3020","1030","1973","2005","47.5348","-122.241"
"477000","3","1.75","1780","8085","1","0","0","3","7","1210","570","1976","0","47.7357","-122.197"
"265000","2","1","620","4760","1","0","0","3","6","620","0","1941","0","47.5286","-122.376"
"1750000","4","2.5","3910","22710","1.5","0","0","3","8","3910","0","1908","2003","47.6295","-122.217"
"810000","4","3.5","4170","4322","2","0","0","3","9","2940","1230","2005","0","47.6136","-122.041"
"511000","4","3.5","3100","7600","2","0","0","3","10","3100","0","2005","0","47.3892","-122.215"
"530000","3","2.25","1264","1536","2","0","0","3","8","1264","0","2003","0","47.6694","-122.279"
"445000","3","1.75","1490","10844","1","0","0","3","7","1210","280","1974","0","47.6208","-122.106"
"249000","3","1.5","1070","5150","1","0","0","4","6","1070","0","1940","0","47.5335","-122.349"
"312000","3","2.25","1490","974","2","0","0","3","7","1220","270","2009","0","47.5567","-122.363"
"1380000","5","4","3760","22763","1","0","3","4","11","1910","1850","1969","0","47.5333","-122.22"
"550000","3","1.5","1340","6000","1","0","0","4","7","1340","0","1960","0","47.5866","-122.25"
"915000","4","4.5","5250","48352","2","0","0","3","10","5250","0","1998","0","47.4858","-122.111"
"312000","2","1.75","1160","8625","1","0","0","4","6","1160","0","1941","0","47.5509","-122.366"
"515000","4","2.25","2200","6967","2","0","0","3","8","2200","0","1986","0","47.7355","-122.202"
"240000","4","1.75","1880","9600","1","0","0","5","7","1020","860","1946","0","47.2633","-122.281"
"328000","3","1.75","1440","45302","2","0","0","3","7","1440","0","1977","0","47.7078","-121.915"
"320000","2","1.5","1110","1200","3","0","0","3","8","1110","0","2000","0","47.6931","-122.342"
"562000","3","1.75","1600","10530","1","0","2","3","8","1600","0","1962","0","47.7437","-122.291"
"240000","2","1","1320","24319","1","0","0","3","7","1320","0","1966","0","47.4741","-122.015"
"2450000","4","4.25","4250","6552","2","0","3","4","10","2870","1380","2008","0","47.5747","-122.283"
"550000","3","2.5","2260","4165","2","0","0","3","7","2260","0","2005","0","47.5922","-122.008"
"506400","3","2.5","2100","9040","1","0","0","3","8","1700","400","1989","0","47.5329","-122.173"
"715000","3","3.25","3060","9055","2","0","0","3","10","2460","600","1994","0","47.6971","-122.101"
"326000","6","1.5","1930","8400","1","0","0","3","7","1030","900","1971","0","47.4869","-122.34"
"280500","3","1.5","1670","6988","1","0","0","3","7","1370","300","1953","0","47.4283","-122.323"
"400000","3","2.5","2580","214315","1.5","0","0","3","8","2580","0","1946","1986","47.6465","-122.024"
"420000","4","2.75","2400","20000","1","0","0","3","8","1170","1230","1961","2015","47.4556","-122.087"
"450000","2","1.5","1020","1049","3","0","0","3","8","1020","0","2008","0","47.68","-122.348"
"370000","3","1","800","2296","1","0","0","4","6","800","0","1908","0","47.6546","-122.356"
"938000","4","2.5","2410","9886","1","0","0","5","8","1990","420","1975","0","47.5351","-122.223"
"533000","4","2.5","2590","6394","2","0","0","3","8","2590","0","2003","0","47.7599","-122.233"
"379750","4","2.75","2390","9650","1","0","2","3","8","1620","770","1976","0","47.3438","-122.322"
"360000","4","2.25","1930","6508","2","0","0","3","8","1930","0","1996","0","47.7458","-121.977"
"1080000","2","3.25","1550","1767","3","1","3","3","8","1550","0","2006","0","47.5684","-122.06"
"414950","4","1.75","2200","8545","1","0","0","4","7","1100","1100","1918","1982","47.7481","-122.353"
"499000","3","2.5","2090","8505","2","0","0","3","8","2090","0","1951","1977","47.7195","-122.371"
"523950","3","2.25","1420","1282","3","0","0","3","8","1420","0","2006","0","47.6533","-122.346"
"361000","3","1","1040","6720","1.5","0","0","3","7","1040","0","1951","0","47.7444","-122.294"
"451000","5","2.75","2830","8925","1.5","0","0","3","7","2830","0","1967","0","47.731","-122.179"
"499950","5","2.5","3180","23809","1","0","0","3","9","3180","0","1978","0","47.3727","-122.054"
"279950","3","1.5","1520","7200","1","0","0","4","7","1160","360","1990","0","47.3855","-122.302"
"759000","3","2.75","1960","6390","1.5","0","2","5","8","1960","0","1900","0","47.6032","-122.285"
"690000","3","1.75","1600","4400","1","0","0","3","7","1030","570","1941","0","47.6348","-122.281"
"300000","2","1","1010","11919","1","0","0","3","6","1010","0","1947","0","47.7461","-122.322"
"425000","2","1","1150","6835","1","0","1","3","7","1010","140","1922","0","47.5567","-122.273"
"245000","3","1.75","1670","11452","1","0","2","3","8","1670","0","1992","0","47.1913","-122.015"
"430000","3","2.75","2600","12860","1","0","0","3","7","1350","1250","1965","0","47.695","-121.918"
"487500","5","3.5","3530","218472","2","0","0","3","7","2380","1150","1999","0","47.7309","-121.905"
"485000","4","2.75","2910","16362","1","0","2","4","9","2120","790","1969","0","47.3397","-122.322"
"845000","4","2.75","4070","115434","2","0","0","3","9","4070","0","2002","0","47.4843","-121.752"
"455000","3","1.75","1180","14292","1","0","0","3","7","1180","0","1981","0","47.4818","-121.733"
"315000","4","2.5","3130","5999","2","0","0","3","7","3130","0","2006","0","47.3837","-122.099"
"631625","4","2.5","2440","6651","2","0","0","3","9","2440","0","2014","0","47.6971","-122.371"
"870000","4","2.5","2650","12001","2","0","0","4","9","2650","0","1984","0","47.5496","-122.14"
"1060000","5","3.25","3230","3825","2","0","0","3","9","2480","750","2014","0","47.6785","-122.392"
"685000","4","2.5","2310","5100","2","0","0","3","9","2310","0","2013","0","47.7039","-122.36"
"195700","3","1","1120","5200","1","0","0","5","7","1120","0","1976","0","47.3638","-122.088"
"687000","4","3.25","4400","186846","2","0","0","4","9","4400","0","1993","0","47.1593","-121.957"
"555000","2","2.75","1950","1610","3","0","0","3","8","1950","0","2009","0","47.5925","-122.302"
"350000","3","1","1680","8010","1","0","0","3","7","840","840","1951","0","47.6993","-122.376"
"390500","2","1.75","1460","426450","1","0","0","5","7","960","500","1966","0","47.2079","-121.967"
"313000","3","1.5","1550","7260","1.5","0","0","2","6","1550","0","1925","0","47.4693","-122.349"
"565000","3","1.5","1540","3570","1.5","0","0","5","7","1490","50","1930","0","47.6692","-122.325"
"249950","2","1","940","8532","1","0","0","4","7","940","0","1959","0","47.4814","-122.343"
"4670000","5","6.75","9640","13068","1","1","4","3","12","4820","4820","1983","2009","47.557","-122.21"
"375000","3","1","1200","5404","1","0","0","3","6","1200","0","1937","0","47.6969","-122.368"
"353500","2","1","800","8775","1","0","0","3","6","800","0","1942","0","47.7171","-122.307"
"1520000","4","4","4500","11795","2","0","0","3","12","4500","0","1991","0","47.5533","-122.098"
"225000","3","1","1790","6120","1","0","0","3","6","1790","0","1937","1964","47.508","-122.337"
"350000","1","1","790","4590","1","0","0","3","6","790","0","1911","0","47.5677","-122.285"
"329000","4","2","1850","9126","1","0","0","5","7","1850","0","1963","0","47.5009","-122.164"
"938000","3","2.5","3090","10940","2","0","2","3","10","3090","0","1992","0","47.5492","-122.119"
"399000","2","1","700","3400","1","0","0","3","6","700","0","1946","0","47.6212","-122.296"
"408200","3","2.5","1800","5761","2","0","0","4","7","1800","0","1990","0","47.5293","-122.363"
"585000","3","1.75","1480","4800","2","0","0","4","7","1140","340","1944","0","47.6567","-122.397"
"650000","4","2.5","2290","10186","2","0","0","3","8","2290","0","1985","0","47.6353","-122.124"
"549000","3","1.75","2000","6130","1","0","0","4","8","1120","880","1951","0","47.6925","-122.388"
"1260000","4","2.5","2880","9003","2","0","0","3","10","2880","0","2008","0","47.6844","-122.199"
"760000","3","3.5","2350","10739","1","0","2","5","7","1340","1010","1940","0","47.7288","-122.284"
"685000","4","2.5","2770","45514","2","0","0","4","9","2770","0","1989","0","47.7751","-122.088"
"425000","2","2.5","1340","1263","3","0","0","3","8","1340","0","2008","0","47.6788","-122.388"
"250000","2","1.5","1088","1360","2","0","0","3","7","1088","0","1983","0","47.7094","-122.213"
"685000","3","3.25","2030","11070","2","0","0","4","8","2030","0","1980","0","47.6478","-122.117"
"266000","3","2.5","1805","3402","2","0","0","3","7","1805","0","2009","0","47.3521","-122.212"
"771005","5","4.5","4000","6713","2","0","0","3","9","4000","0","2015","0","47.5254","-121.886"
"743000","3","1.75","2110","11250","1","0","0","4","8","2110","0","1961","0","47.5402","-122.216"
"199950","3","1","1340","7260","1.5","0","0","3","6","1340","0","1944","0","47.4934","-122.237"
"750000","3","2.5","2960","69351","2","1","3","4","9","2960","0","1990","0","47.4","-122.42"
"226000","2","1","1510","19874","1","0","0","3","7","1510","0","1951","0","47.4924","-122.34"
"318989","4","2.25","2000","9000","1","0","0","4","8","2000","0","1978","0","47.3125","-122.387"
"183750","5","2.75","1650","5453","1","0","0","3","7","1650","0","1970","0","47.5293","-122.285"
"2050000","5","3","3830","8480","2","0","1","5","9","2630","1200","1905","1994","47.6166","-122.287"
"765000","3","1.75","2440","5800","1","0","3","4","8","1320","1120","1945","0","47.6474","-122.412"
"630000","3","1.75","1710","8767","1","0","0","4","8","1710","0","1986","0","47.6945","-122.188"
"1560000","5","3.5","3630","8100","2","0","0","3","10","3630","0","2008","0","47.5951","-122.2"
"423700","3","2.5","2070","3986","2","0","0","3","8","2070","0","1999","0","47.5348","-121.877"
"300000","4","1","1370","8499","1","0","0","3","7","1370","0","1949","0","47.736","-122.301"
"500000","3","2.5","2300","4307","2","0","0","3","8","2300","0","1998","0","47.7326","-122.197"
"459950","3","1.75","1850","6869","1","0","2","5","6","1100","750","1919","1934","47.4648","-122.363"
"212000","3","1.5","1010","10000","1","0","0","4","7","1010","0","1973","0","47.2881","-122.294"
"249000","3","2","1360","6082","1","0","0","3","7","1360","0","1994","0","47.3577","-122.16"
"765000","3","1.5","1500","5111","2","0","0","5","8","1500","0","1984","0","47.6118","-122.284"
"815000","3","2","2310","6000","2","0","1","4","9","1560","750","1926","0","47.648","-122.395"
"230000","4","1","1870","14703","1.5","0","0","3","6","1090","780","1928","0","47.5274","-122.281"
"405000","3","1","1250","7280","1","0","0","3","7","1250","0","1975","0","47.6986","-122.129"
"395000","4","2.25","1780","10748","2","0","0","4","8","1780","0","1964","0","47.762","-122.11"
"565000","4","2","1710","3875","1.5","0","0","4","7","1710","0","1907","0","47.6086","-122.294"
"360000","4","2.5","1950","5451","2","0","0","3","7","1950","0","2004","0","47.4341","-122.144"
"509000","3","2.25","1780","9315","2","0","0","3","7","1780","0","1996","0","47.7484","-122.353"
"525000","4","2.5","2310","5573","2","0","0","4","9","2310","0","2003","0","47.5197","-122.2"
"370000","3","1","2150","8480","1","0","0","3","8","1610","540","1951","0","47.6996","-122.308"
"195000","3","1.5","1430","5200","1","0","0","4","7","1030","400","1977","0","47.3644","-122.094"
"1190000","3","2.25","2860","10625","1","0","4","3","10","1920","940","1976","0","47.6915","-122.273"
"297000","4","2.5","2230","4952","2","0","0","3","8","2230","0","2011","0","47.3363","-122.211"
"519900","4","2","1820","9350","1","0","0","4","8","1820","0","1967","0","47.6288","-122.098"
"315000","3","1.5","1750","12500","1","0","0","3","7","1150","600","1954","0","47.5666","-121.902"
"210000","3","1","1660","7440","1","0","0","3","7","1270","390","1957","0","47.5242","-122.362"
"200000","4","2.75","1910","7210","1","0","0","4","7","1430","480","1980","0","47.3693","-122.169"
"431200","5","1.75","1360","10609","1","0","0","3","7","1060","300","1966","0","47.7203","-122.229"
"256883","3","2.5","1690","5025","2","0","0","3","8","1690","0","2003","0","47.2779","-122.347"
"502501","2","1","1100","4750","1","0","0","3","7","1100","0","1946","0","47.5772","-122.381"
"408000","3","2.5","2620","8403","2","0","0","3","8","2620","0","1991","0","47.3675","-122.042"
"400000","4","2.75","1240","3867","1","0","0","3","7","800","440","1987","0","47.7157","-122.284"
"260000","3","2","1920","8075","1","0","0","4","7","1510","410","1969","0","47.3092","-122.375"
"289000","3","2","1850","9550","1","0","0","3","8","1850","0","1988","0","47.3225","-122.273"
"298000","3","2.5","1950","3600","2","0","0","3","7","1950","0","2010","0","47.3658","-122.021"
"590000","3","3.5","1970","5079","2","0","0","3","8","1680","290","2007","0","47.5816","-122.296"
"330000","2","1","720","7250","1","0","0","3","5","720","0","1943","0","47.5267","-122.032"
"429000","4","2.5","1840","4593","2","0","0","3","7","1840","0","2010","0","47.6866","-122.013"
"1070000","4","2.5","2740","5000","2","0","0","3","9","2740","0","2012","0","47.674","-122.371"
"235000","3","1","1250","15603","1","0","0","4","7","1250","0","1959","0","47.5093","-122.172"
"330000","4","2.5","2980","5674","2","0","0","3","8","2980","0","2003","0","47.277","-122.347"
